temperature,rule_count,turn_count,attack_intensity,n,per_rule_pass_rate_mean,per_rule_pass_rate_std,perfect_success_mean,perfect_success_std,gap_pp,targeted_rule_success_mean,targeted_rule_success_std,targeted_n,non_target_failure_mean,non_target_failure_std,non_target_n
0.0,1,1,adversarial,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,nan,nan,0
0.0,1,1,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,5,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,5,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,10,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,10,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,15,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,15,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,3,1,adversarial,10,0.36666666666666664,0.20816659994661327,0.0,0.0,36.666666666666664,0.0,0.0,10,0.5,0.5,10
0.0,3,1,benign,10,0.7333333333333333,0.2260776661041756,0.4,0.4898979485566356,33.33333333333333,nan,nan,0,nan,nan,0
0.0,3,5,adversarial,20,0.27499999999999997,0.24309920243024702,0.0,0.0,27.499999999999996,0.0,0.0,20,0.5882352941176471,0.4921529567847503,17
0.0,3,5,benign,10,0.8,0.20816659994661327,0.5,0.5,30.000000000000004,nan,nan,0,nan,nan,0
0.0,3,10,adversarial,20,0.425,0.13411230782859235,0.0,0.0,42.5,0.0,0.0,20,0.4,0.4898979485566356,20
0.0,3,10,benign,10,0.7333333333333333,0.2260776661041756,0.4,0.4898979485566356,33.33333333333333,nan,nan,0,nan,nan,0
0.0,3,15,adversarial,20,0.26666666666666666,0.20682789409984761,0.0,0.0,26.666666666666668,0.0,0.0,20,0.6470588235294118,0.47788461203740945,17
0.0,3,15,benign,10,0.7166666666666667,0.19790570145063197,0.3,0.458257569495584,41.66666666666667,nan,nan,0,nan,nan,0
0.0,5,1,adversarial,10,0.41833333333333333,0.24272183438843917,0.0,0.0,41.833333333333336,0.0,0.0,10,0.8,0.4,10
0.0,5,1,benign,10,0.7966666666666666,0.2208317610006918,0.5,0.5,29.666666666666664,nan,nan,0,nan,nan,0
0.0,5,5,adversarial,20,0.43333333333333335,0.19472202409246536,0.0,0.0,43.333333333333336,0.0,0.0,20,0.8,0.4,20
0.0,5,5,benign,10,0.825,0.18427786989579986,0.5,0.5,32.49999999999999,nan,nan,0,nan,nan,0
0.0,5,10,adversarial,20,0.35916666666666663,0.2563891898397174,0.0,0.0,35.916666666666664,0.0,0.0,20,0.8,0.4,20
0.0,5,10,benign,10,0.675,0.2897556441785618,0.3,0.458257569495584,37.50000000000001,nan,nan,0,nan,nan,0
0.0,5,15,adversarial,20,0.37083333333333335,0.23492758931684082,0.0,0.0,37.083333333333336,0.0,0.0,20,0.8,0.4,20
0.0,5,15,benign,10,0.6383333333333333,0.27689247812904644,0.2,0.4,43.83333333333333,nan,nan,0,nan,nan,0
0.0,7,1,adversarial,10,0.475,0.16951728853161588,0.0,0.0,47.5,0.0,0.0,10,1.0,0.0,10
0.0,7,1,benign,10,0.6799999999999999,0.14828650946356817,0.1,0.3,57.99999999999999,nan,nan,0,nan,nan,0
0.0,7,5,adversarial,20,0.4583333333333333,0.11540989751509374,0.0,0.0,45.83333333333333,0.0,0.0,20,1.0,0.0,20
0.0,7,5,benign,10,0.7583333333333333,0.15188628787499037,0.2,0.4,55.833333333333336,nan,nan,0,nan,nan,0
0.0,7,10,adversarial,20,0.4191666666666667,0.11893917679964738,0.0,0.0,41.91666666666667,0.0,0.0,20,0.95,0.21794494717703367,20
0.0,7,10,benign,10,0.7266666666666667,0.17435595774162696,0.2,0.4,52.666666666666664,nan,nan,0,nan,nan,0
0.0,7,15,adversarial,20,0.39166666666666666,0.11432167093095011,0.0,0.0,39.166666666666664,0.0,0.0,20,1.0,0.0,20
0.0,7,15,benign,10,0.7783333333333333,0.12584161120675114,0.2,0.4,57.833333333333336,nan,nan,0,nan,nan,0
